Titulo,Votos,Rating,Fechas,Year,Uploader,Tamanio,vistas
Hearts of Iron IV Field Marshal Edition,56,3.52,06/06/16,2016,ElAmigos,17 GB,70535
Heavy Rain,47,3.62,24/06/19,2019,ElAmigos,9 GB,52790
Hellblade Senuas Sacrifice,91,4.47,08/08/17,2017,ElAmigos,85 GB,57446
HELLDIVERS Digital Deluxe Edition,4,4.5,07/12/15,2015,ElAmigos,36 GB,11675
Hello Neighbor,102,4.28,08/12/17,2017,ElAmigos,18 GB,17228
Hidden Dragon Legend,3,3.67,22/01/18,2018,CODEX,4.84 GB,9693
HITMAN 2 Gold Edition,16,3.63,15/11/18,2019,ElAmigos,1 GB,51345
Hob,9,3.78,26/09/17,2017,GOG,11 GB,9203
Hollow Knight,82,4.49,24/02/17,2017,ElAmigos,06 GB,31717
Homefront Ultimate Edition,19,4.11,14/03/11,2011,ElAmigos,34 GB,17562
Homeworld Remastered Collection,12,3.5,25/02/15,2015,ElAmigos,7.73 GB,11759
Hunt Down The Freeman,7,3,24/02/18,2018,CODEX,27.3 GB,8881
I Am Alive,19,3.79,06/09/12,2012,ElAmigos,82 GB,43518
Immortal Unchained,43,3.6,07/09/18,2018,ElAmigos,12 GB,91087
Initial II New Stage,17,1.82,19/10/18,2018,ElAmigos,46 GB,8470
Injustice 2 Legendary Edition + Update 12,56,4.14,30/11/17,2017,ElAmigos,4 GB,38946
Injustice Gods Among Us Ultimate Edition,17,4.35,12/11/13,2013,ElAmigos,5 GB,22132
INSOMNIA The Ark,5,4.2,27/09/18,2018,ElAmigos,3 GB,7453
James Camerons Avatar The Game,23,3.65,01/12/09,2009,ElAmigos,76 GB,17156
John Wick Hex,6,3.67,09/10/19,2019,ElAmigos,332 MB,32058
Journey to the Savage Planet,160,4.35,28/01/20,2019,ElAmigos,22 GB,129851
Jump Force Ultimate Edition,50,3.92,14/02/19,2019,ElAmigos,72 GB,92411
Jurassic Park The Game,17,3.41,15/11/11,2011,ElAmigos,34 GB,13094
Jurassic World Evolution,67,4.3,12/06/18,2018,ElAmigos,27 GB,3293
Just Cause 3 XL Edition,29,3.83,30/11/15,2015,ElAmigos,48 GB,20656
Just Cause 4 Gold Edition,49,4.02,04/12/18,2018,ElAmigos,44 GB,42788
Kartong Death by Cardboard,5,2.6,04/04/18,2018,RELOADED,36 GB,4416
Killer Instinct,18,4.06,27/09/17,2017,ElAmigos,2 GB,24892
Killing Floor 2 Digital Deluxe Edition,19,3.53,21/04/15,2016,ElAmigos,2 GB,22753
Lara Croft and the Guardian of Light,7,4,28/09/10,2010,ElAmigos,81 GB,9404
LEGO DC Super Villains Deluxe Edition,25,3.96,16/10/18,2013,ElAmigos,1 GB,44029
LEGO Jurassic World,48,4.38,12/06/15,2018,ElAmigos,8 GB,3487
LEGO Marvel Super Heroes 2 Deluxe Edition,25,4.04,14/11/17,2017,ElAmigos,4 GB,6945
LEGO MARVELs Avengers Complete,11,4,26/01/16,2019,ElAmigos,4 GB,18039
LEGO The Incredibles + Update 1,16,3.94,15/06/18,2018,ElAmigos,6 GB,5765
Lego Worlds,18,3.94,07/03/17,2017,ElAmigos,10 GB,12294
Life is Strange Before the Storm Deluxe Edition,32,4.41,31/08/17,2017,ElAmigos,14 GB,15571
Life Is Strange Complete First Season,39,4.49,19/10/15,2015,ElAmigos,9 GB,25780
Light Fall,5,3.8,26/04/18,2018,CODEX,15 GB,4297
Lightning Returns Final Fantasy XIII,17,4.18,10/12/15,2015,ElAmigos,41 GB,12035
Lords of the Fallen GOTY,22,3.91,28/10/14,2014,ElAmigos,98 GB,34219
Lost Via Domus: The Video Game,24,3.42,26/02/08,2008,,03 GB,7901
Lucius III,9,3.22,13/12/18,2018,ElAmigos,21 GB,14635
Mafia II Directors cut,36,4.5,26/08/10,2010,ElAmigos,99 GB,31405
Mafia III Digital Deluxe,24,3.92,07/10/16,2016,ElAmigos,72 GB,28138
Mafia The City of Lost Heaven,31,4.48,28/08/02,2002,ElAmigos,66 GB,23732
Mages of Mystralia,5,2.6,18/05/17,2017,PLAZA,13 GB,8442
Magicka,8,4.38,25/01/11,2011,,13 GB,13549
Mark of the Ninja Remastered,12,3.92,09/10/18,2018,ElAmigos,84 GB,11285
Marvel vs Capcom Infinite Deluxe Edition,23,4.04,19/09/17,2017,ElAmigos,1 GB,28412
